,id,album_id,album_name,duration_ms,popularity,track_name,artists,msPlayed,endTime,release_date,genres
83,1sINJB2tVaHV5r3iKCACHv,3XJLsmXh2yyehGaUn0FWDC,Reframe,127109,59,Reframe,['Norman Dück'],124612,2023-01-06 14:43,2022-04-08,[]
84,2yZU1Y2Zagb4Ymm5gK72ab,2FSycLXewsbnvoqm6F5oKv,Homestead,162250,50,Homestead,['Chris Donner'],157962,2023-01-06 14:46,2022-02-25,[]
85,2XPxkVgxyj4QVaW78kS5vb,2RtrUW1IaYnI9OAVN4XGDY,Estelle,118500,63,Estelle,['Doris Casella'],115052,2023-01-06 14:48,2022-05-06,[]
86,6nEtaXKHUnrcbTjagD9mXC,4lvsDfnDzSQ5SbV8vAGMW9,Silverfog,156014,58,Silverfog,['Claudio Polle'],152290,2023-01-06 14:50,2022-01-02,[]
87,4ngpD9qM5EinF3KKKoyZDB,4jKT4QSTMTuHh7LmMzUtNb,The New Life,138598,59,The New Life,['Lemos'],130316,2023-01-06 14:52,2022-05-13,[]
88,5vz0Vls8TbtlI58CHQrIpb,08ACq6XiMkbZr3pouk4piJ,Träumerei,127250,62,Träumerei,['Jørg Sorensen'],126131,2023-01-06 14:54,2021-10-08,[]
89,6axlKJ7OnW6zxM16Hxwbb0,1ZwWzrEoQskuYYnN9bMXgB,Solace,151764,69,Solace,['Claire Lerdier'],114018,2023-01-06 14:56,2022-12-09,[]
90,0RdeSJMPOXBb8a1MmEP7Fq,5mxzoB3Xja5f0sVuI1nsv3,Svaj,146812,59,Svaj,['Jacob David'],139211,2023-01-06 14:59,2022-04-22,[]
91,5YZpHsggUWJwLirje3LvqH,1BgkRFDTCvBMxIZyMW8cnf,Alla fine insieme (Together at Last),128015,48,Alla fine insieme (Together at Last),['Guiseppe Amilcare'],123282,2023-01-06 15:01,2020-06-26,[]
92,7fBv7CLKzipRk6EC6TWHOB,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,242253,87,The Hills,['The Weeknd'],160070,2023-01-06 15:03,2015-08-28,[]
93,5UTGQ7EW9lD4sCJs1QjL9l,6Wk54eiOWaHHWGQ8n5oGKh,Horizons,154503,63,Horizons,['Thalia Mathis'],134905,2023-01-06 15:48,2022-11-25,[]
94,0sCPbmOcdRcTWVDjHh22id,6vtn108mEHEwVw0Lu1I4HO,Hour of Rest,112653,60,Hour of Rest,['William Cas'],107731,2023-01-06 15:50,2021-10-01,[]
95,4OXMONKgLmW0FZGU6Sm7Hf,1XhIG4rUpR4cNXiegHFsU7,Sunlight Sadness,151479,58,Sunlight Sadness,['Højsgaard'],145274,2023-01-06 15:53,2022-03-25,[]
96,3iyH2B4dcjufYE0ZjiUZsC,4UGoF6BHCz2xclaI3J74Zf,Ex Nihilo Nihil Fit,155374,38,Ex Nihilo Nihil Fit,['Elder Lockhart'],140122,2023-01-06 15:55,2020-03-27,[]
97,63tNK7odjvpeSFcMZC1LsL,7wcFo6HBOkNKAZYCuV4WrC,Oltre (The Shape Of Piano To Come Vol. I),288812,28,Oltre - The Shape Of Piano To Come Vol. I,['Emiliano Blangero'],251326,2023-01-06 15:59,2020-10-26,[]
98,2HwCcCi8Up9NECNBRt0yTV,1Vhx6ow2PDJROoX3ND5dEy,Hideaway,148906,63,Hideaway,['Igulfrid'],146789,2023-01-06 16:02,2022-04-15,[]
99,7EL9YtzL4qYOcxYlf4mbVi,2zXp7huP6HGVldywEC6arL,Yours to Break,211826,52,Wintergreen,['The East Pointers'],180527,2023-01-06 16:05,2019-10-25,[]
100,5RrvMr9cuBvmINeTDJvTYH,3Z0iahrofwT3yOgryg08wR,Ostern - Klassische Musik,136706,2,"Prelude and Fugue in C Major, BWV 846: I. Prelude","['Johann Sebastian Bach', 'Fazıl Say']",164804,2023-01-06 16:07,2023-03-27,[]
101,00PnFrg2QQzPqkeuxGxcz9,5qarIzyobiPKOCDZvaWDIj,Relaxing Piano (Neoclassical Sessions),184220,61,Spheroidal,['Kalen Elmsley'],180767,2023-01-06 16:10,2022-08-19,[]
102,0YNtAadZvKBBEFARtfoCV8,0ODLCdHBFVvKwJGeSfd1jy,Hard To Imagine The Neighbourhood Ever Changing,167960,71,Compass,['The Neighbourhood'],139419,2023-01-06 16:13,2018-11-02,[]
103,4iCLo3ZjF6V1RW4Wz18KMz,5fpiyyKknRiCj5joBh4VA0,Praxedis,172813,60,Aufgang der Sonne,['Ploxxio'],168191,2023-01-06 16:15,2022-03-06,[]
104,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620,59,To the Rain,['Anna Landström'],141955,2023-01-06 16:18,2022-05-20,[]
105,577YBGuskWkVDCxZrLRB4v,4iF44RCCybJtkBkMoqrLW2,Street Gossip,154023,82,Pure Cocaine,['Lil Baby'],115951,2023-01-06 16:20,2018-11-30,[]
106,0akRH0jXMDwwgVlTg8nyJH,21tRhVrfsE603drTwiWthE,Bagnàa Come I Trüt De Lagh,210613,27,Bagnàa Come I Trüt De Lagh,['Giovanni Turchini'],206062,2023-01-06 16:23,2020-10-16,[]
107,239W1Z795G2xYOqdrVLirv,6dT2UTUh4rYKFdakQ01sBc,The tree that I don't forget,198297,58,The tree that I don't forget,['Giuseppe Califano'],187268,2023-01-06 16:26,2022-05-13,[]
108,2kEk2uIKtoJD5r65cH7XBP,4YPmrvr0GCO4errUctduu7,Contemplate,173219,65,Silk,['Sleepwear'],148874,2023-01-06 16:29,2022-02-07,[]
109,4XhZgQHy6yNEB5M3NhZXAG,7nRhGhULaOo98BoVjYzzgD,Dear Buddy,132954,59,Dear Buddy,['Cinthya Garcia'],128398,2023-01-06 16:31,2022-05-06,[]
110,5e5tJl04Fp74oHxpsrC7Tk,0lvz7MO3PlK8QDxvvc35pN,Meditabundus,150000,60,Meditabundus,['Kellen Chase'],146362,2023-01-06 16:33,2022-04-27,[]
111,1IqWZERE8ZOVtgE3fmekFv,0wVbGonjdCw4QHcJ4HnRRM,Midnight Improvisations // Momenten,201000,47,vierde moment,['antinode'],195503,2023-01-06 16:36,2022-05-13,[]
112,14I5NCZR2Ml2egUlLPxSKL,7uU6IUooGwe60ajUtMfBy2,Stirling,128873,34,Stirling,['Olma'],114986,2023-01-06 16:38,2021-09-17,[]
113,0oufSLnKQDoBFX5mgkDCgR,03nFfkhtHqQZZqprep3G6r,Lost,158420,79,Trust,['Brent Faiyaz'],138346,2023-01-06 16:41,2018-10-19,[]
114,695BxK7VbbK6M4CRvtR5Sn,03ATVAe2XY1b6rZ7OGbMhw,Although,180635,59,Although,['Jane Avril'],171702,2023-01-06 16:43,2022-03-18,[]
115,13efPu5TlBN9X9oOo9ItBv,6plr80ML2wuePhF4AqR2bQ,Stardust,175844,59,Stardust,"['MrHeadA$$Trendy', 'Limbo']",242971,2023-01-06 16:47,2019-12-11,[]
116,0PQK5efczMVIIjScPRZYH5,14IZ6aHadzsKrNMnntwLb0,skeletons,171520,60,atlas,['keshi'],125404,2023-01-06 16:50,2019-07-16,[]
117,6zB9GWgc3mjxnqGgHAwvpU,4j3t73htSViFibVCVBpLr5,Different To Our Daily Lives,146960,57,Different To Our Daily Lives,['Justus Rümenapp'],138858,2023-01-06 16:52,2022-04-15,[]
118,4FpFfqoAlmkykj4E7nIhsZ,3OnOWPTEYMqhOn7SnFoyBO,Incandescence,117516,42,Incandescence,['Rebecca Leonard'],114956,2023-01-06 16:54,2020-01-07,[]
119,0acEauszFAvCGw9cNF0kZM,33iYingDDSa1X0iPiotQT8,Frozen Lakes,166890,53,Frozen Lakes,['Imber Sun'],117475,2023-01-06 16:56,2022-12-02,[]
120,7McExzjmhDI5NQ6l4D9XR9,6TsyjKCVz1FlcjwglzzbT9,Dismantle,135668,58,Remove The Complexities,['Peter Sandberg'],131751,2023-01-06 16:58,2016-06-17,[]
121,7inwDSpJOVDN9kUsi7JtqX,1x6OZLfOt7xNDGVU9Azcs7,The Door into Summer,182500,57,The Door into Summer,['Nora De Smet'],174139,2023-01-06 17:01,2022-04-01,[]
122,2POquMHNneRC4HApAiV2QA,5YgaRDfpuLueyi5hqncqLt,"Folsom Field, Boulder, CO 7/14/18 (Live)",795186,33,"Franklin's Tower - Live at Folsom Field, Boulder, CO, 7/14/2018",['Dead & Company'],198606,2023-01-06 17:04,2018-07-14,[]
123,2y6mh0Q1gZC7BKThkY92bh,3uLrSFrNqa8CULSIU7e9v5,Egypt Station,184678,26,Confidante,['Paul McCartney'],122399,2023-01-06 17:06,2018-09-07,[]
124,4Ev1LZ4uzjnSvDHpgdyBZK,5F0IQXuHfTV7SBvZVnXERl,The Division Bell,314960,56,Lost for Words,['Pink Floyd'],163728,2023-01-06 17:09,1994,[]
125,0BXq9t3wTA8HMqFPvGxZYf,2BkNgqpxRpu2lMH2yi0FJC,Sweet Redolence,114400,44,Sweet Redolence,['Cedric Armfeldt'],109145,2023-01-06 17:10,2020-08-07,[]
126,0XDv7SLyMkGcAnb12fMHa1,2fDm6GpssR8S6uQnDE4MKM,English Settlement,290667,50,Senses Working Overtime - Remastered 2001,['XTC'],122135,2023-01-06 17:12,1982-02-12,[]
127,36fYJLNnFHgCezJFMJD3NU,3WgXxpbEGWKMpg2CYcx6pL,Overdose D'Amore,332360,24,Il Volo,['Zucchero'],113228,2023-01-06 17:14,1999,[]
128,445KHitEvap0tspDZ3C78V,2yVjc4mMxopxCDyPDBP1Iq,Coulant,148500,62,Coulant,['Les Rêveries'],144741,2023-01-06 17:17,2022-03-04,[]
129,5G1xgH1zCwWF4f5aIOUksB,3dE84iT1GkIHixshI0twdV,Duality,124029,41,Valverde,['Jacques Ferrandi'],119290,2023-01-06 17:19,2020-06-15,[]
130,00I0pcNkN3IOX3fsYbaB4N,5XRCcUfwtLNQflDd9cfz4U,The Last Rocket,221892,59,Infatuation,['Takeoff'],150569,2023-01-06 17:21,2018-11-02,[]
